iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,iniTextoSubstCampo,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,resultado,reuniao,tipoReuniao,PSD,CH,IL,BE,PS,L,PCP,PAN,data,descricao,iniAnexos,idComissao,nomeComissao,competenteComissao,unanime,ausencias,António Maló De Abreu (Ninsc),peticoes,iniObs,publicacao,iniciativasOrigem,ano,leg
640,114790,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que garanta a inclusão dos Objetivos de Desenvolvimento Sustentável da Agenda 2030 e dos princípios de orçamentação verde da Lei de Bases do Clima no Programa de Estabilidade 2023-2027 e noutros documentos orientadores das políticas públicas,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338774e32466b4d446868596930314e6a51774c54526a5a5451744f57457a4d6931694d475a6b5a6a55794f544d334f5455755a47396a65413d3d&fich=07ad08ab-5640-4ce4-9a32-b0fdf5293795.docx&Inline=true,,,,172826,PAN,,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,121,RP,Abstenção,Contra,Abstenção,A Favor,Abstenção,A Favor,Abstenção,A Favor,2023-04-28,,,,,,,,,,,,,2023,l15
643,114792,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Proteção dos rendimentos face à inflação e rejeição do Programa de Estabilidade 2023-2027,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338344f574e68596d4a6b4d4331684d5751794c5451304e6d45744f4441774e6930774d6a4e6c596a63785a575a6c4d7a55755a47396a&fich=89cabbd0-a1d2-446a-8006-023eb71efe35.doc&Inline=true,,,,172831,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,121,RP,Contra,A Favor,Contra,A Favor,Contra,A Favor,A Favor,Abstenção,2023-04-28,,,,,,,,,,,,,2023,l15
642,114787,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Deslocação do Presidente da República a Londres, a Yuste e a Estrasburgo",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a5459345a44557a4e69316b4d32566b4c5451304d6a67744f4745345a69316b597a49314e6d4a6b4f4445794f574d756347526d&fich=ce68d536-d3ed-4428-8a8f-dc256bd8129c.pdf&Inline=true,,,,172830,,,Votação Deliberação,R,PAR,PAR,Aprovado,121,RP,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,2023-04-28,,,8326,Comissão de Negócios Estrangeiros e Comunidades Portuguesas,S,,,,,,,,2023,l15
645,114804,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Atribui patrono às vítimas de violência doméstica (10.ª alteração à Lei n.º 112/2009, de 16 de setembro)
",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595339684f4451774d7a41334d6930334e32566b4c5451334e6d49744f445a6c4d693079597a49355a574578597a6b304e3245755a47396a65413d3d&fich=a8403072-77ed-476b-86e2-2c29ea1c947a.docx&Inline=true,,,,152628,PCP,Substituição do título e do texto da iniciativa a pedido do autor em 2023-03-09.,Votação na generalidade,G,Grupos Parlamentares,PCP,Rejeitado,121,RP,Contra,A Favor,A Favor,A Favor,Contra,A Favor,A Favor,A Favor,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
641,114791,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que preveja no Programa de Estabilidade 2023-2027 e no Programa Nacional de Reformas 2023 uma atualização intercalar dos escalões de IRS que acomode a inflação registada nos anos de 2021 e 2022,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d49355a575a6a4e793169596a67344c5451775a444974596a51314d433169596a637a596a4e6a4e47566d4e4449755a47396a65413d3d&fich=cfb9efc7-bb88-40d2-b450-bb73b3c4ef42.docx&Inline=true,,,,172827,PAN,,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,121,RP,Abstenção,Abstenção,Abstenção,A Favor,Contra,A Favor,A Favor,A Favor,2023-04-28,,,,,,,,,,,,,2023,l15
643,114814,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Garante o acesso ao regime contributivo da segurança social a advogados, solicitadores e agentes de execução ",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b59546379596a526d595330774e546b304c5452695a5467744f4759324e7930334f446b774f5455795a6a4e694f5459755a47396a&fich=da72b4fa-0594-4be8-8f67-7890952f3b96.doc&Inline=true,,,,152626,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,121,RP,Contra,Abstenção,Abstenção,A Favor,Contra,A Favor,A Favor,A Favor,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
642,114813,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Retira ao Instituto de Gestão Financeira da Segurança Social, I. P. a competência para a instauração e instrução de processos de execução por dívidas à Caixa de Previdência dos Advogados e Solicitadores",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338324f47557a4e6d4e69597930794f4449794c5451334e7a637459574d33596930794d324d7a4f5441315a6a497a5a5459755a47396a&fich=68e36cbc-2822-4777-ac7b-23c3905f23e6.doc&Inline=true,,,,152625,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,121,RP,Contra,Contra,Abstenção,A Favor,Contra,A Favor,A Favor,A Favor,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
649,114795,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que apresente no Programa de Estabilidade 2023-2027 uma previsão de medidas a adotar para devolver ao Estado capacidade de cumprimento de obrigações constitucionais no domínio social e uma estratégia de crescimento económico,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338305a575a684e474e6c596930795a5755794c545177593255745957557a5a53316d4e324a6c4e545a6b4e7a49354d5749755a47396a&fich=4efa4ceb-2ee2-40ce-ae3e-f7be56d7291b.doc&Inline=true,,,,172837,PSD,,Votação na generalidade,G,Grupos Parlamentares,PSD,Rejeitado,121,RP,A Favor,A Favor,A Favor,Contra,Contra,Abstenção,Contra,Abstenção,2023-04-28,,,,,,,,,,,,,2023,l15
445,114821,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Promove a transformação dos resíduos orgânicos em fonte de energia verde,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314f5449304f4749324e6930785a545a6d4c54526b4f5459744f444e6a4f4330354d4749795a6d457a5a6a5a6a596d45755a47396a65413d3d&fich=59248b66-1e6f-4d96-83c8-90b2fa3f6cba.docx&Inline=true,,,,152434,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,121,RP,Abstenção,A Favor,A Favor,Abstenção,Contra,Abstenção,Contra,A Favor,2023-04-28,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2023,l15
646,114794,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Por uma vida melhor: aumento dos salários e pensões, controlo e redução de preços, mais investimento e produção nacional",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b5a6d5a6a4f4451794f5331684f44417a4c5451794e4455744f446b305969303359544d31596a6c68593245794e6a6b755a47396a65413d3d&fich=dffc8429-a803-4245-894b-7a35b9aca269.docx&Inline=true,,,,172834,PCP,,Votação na generalidade,G,Grupos Parlamentares,PCP,Rejeitado,121,RP,Contra,Contra,Contra,A Favor,Contra,A Favor,A Favor,Abstenção,2023-04-28,,,,,,,,,,,,,2023,l15
644,114803,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Reforça as medidas de proteção das vítimas de violência doméstica (10.ª alteração à Lei n.º 112/2009, de 16 de setembro)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314f444e694d7a42695953307a4d3251784c54526c4e3249744f474e6a4d43307a597a426b4d446b324e6a41304f4459755a47396a65413d3d&fich=583b30ba-33d1-4e7b-8cc0-3c0d09660486.docx&Inline=true,,,,152627,PCP,,Votação na generalidade,G,Grupos Parlamentares,PCP,Rejeitado,121,RP,Contra,Contra,A Favor,A Favor,Contra,A Favor,A Favor,A Favor,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
208,114826,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Criação do crime de pornografia não consentida  (55.ª alteração ao Código Penal e 45.ª alteração ao Código do Processo Penal)

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595339694f544669596a41784d4331684d44526b4c54526d5a6a4974595756684d6931694e6a466d4e32466a4e7a4d324d4755755a47396a&fich=b91bb010-a04d-4ff2-aea2-b61f7ac7360e.doc&Inline=true,,,,131708,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,121,RP,Contra,Abstenção,A Favor,A Favor,Contra,Abstenção,Abstenção,A Favor,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
157,114825,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Prevê o crime de divulgação não consentida de conteúdo de natureza íntima ou sexual,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e5751794f47466d4f433035596a597a4c5452695a446774596a6b304d79316d4f5745355a5459314e5463334e4755755a47396a65413d3d&fich=95d28af8-9b63-4bd8-b943-f9a9e655774e.docx&Inline=true,,,,121628,PAN,Substituição do título e do texto da iniciativa a pedido do autor em 2022-10-10.,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,121,RP,Contra,Abstenção,Abstenção,A Favor,Contra,A Favor,Abstenção,A Favor,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
156,114824,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Reforça a protecção das vítimas de devassa da vida privada por meio de partilha não consentida de conteúdos de cariz sexual,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338794f5463334d54677a4f43316a5a4445324c54526c4e545974596a566d4d53307a5a574d325a6a46684e446b794e474d755a47396a65413d3d&fich=29771838-cd16-4e56-b5f1-3ec6f1a4924c.docx&Inline=true,,,,121625,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,121,RP,Contra,A Favor,Abstenção,Contra,Contra,Contra,Contra,Abstenção,2023-04-28,,,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,,,,,,,,2023,l15
644,114793,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que estabeleça no Programa de Estabilidade critérios objetivos e previsíveis para a utilização da folga orçamental em caso de superávit, sob a forma de um compromisso para a equidade e investimento ",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953387a5a6a4a68597a51774e4330305a6a55324c5451324d574d74596a51784e433077595755354e5452694e4463784d6d4d755a47396a65413d3d&fich=3f2ac404-4f56-461c-b414-0ae954b4712c.docx&Inline=true,,,,172832,L,,Votação na generalidade,G,Grupos Parlamentares,L,Rejeitado,121,RP,Abstenção,Abstenção,Contra,Abstenção,Contra,A Favor,Contra,A Favor,2023-04-28,,,,,,,,,,,,,2023,l15
69,114829,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei de Programação Militar,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338344f4442694d574a6c4e6931684d6d59314c5451344d6a67744f5449304d53316c4f474a685a4749304e7a426c5a4751755a47396a65413d3d&fich=880b1be6-a2f5-4828-9241-e8badb470edd.docx&Inline=true,,,,152707,,,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,38,,A Favor,A Favor,A Favor,Ausência,A Favor,,A Favor,,2023-05-02,,,8327,Comissão de Defesa Nacional,S,unanime,BE,,,,,,2023,l15
68,114828,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei de Infraestruturas Militares,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533969597a6b784e575a695a43316c4d5759334c5452684d574d744f4745785a5330314d54677a4d545a6c4e7a4a6c4d7a59755a47396a65413d3d&fich=bc915fbd-e1f7-4a1c-8a1e-518316e72e36.docx&Inline=true,,,,152706,,,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,38,,A Favor,A Favor,A Favor,Ausência,A Favor,,A Favor,,2023-05-02,,,8327,Comissão de Defesa Nacional,S,unanime,BE,,,,,,2023,l15
722,114830,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei de Sustentabilidade Ambiental das Infra-estruturas Militares,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338315a44686b597a59794f4331685a574e694c54526c5a6d55744f5449344e79307a5a44566a4d57593559324e6c596d55755a47396a65413d3d&fich=5d8dc628-aecb-4efe-9287-3d5c1f9ccebe.docx&Inline=true,,,,152807,PAN,,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,PAN,Aprovado,38,,A Favor,A Favor,A Favor,Ausência,A Favor,,A Favor,,2023-05-02,,,8327,Comissão de Defesa Nacional,S,unanime,BE,,,Iniciativa retirada a pedido do autor(es) em  2023-05-03.,,,2023,l15
721,114843,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Aumenta o agravamento do IMI para prédios devolutos ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595339685a544d774e6a55334f5331684d7a4d774c54517a4e544d74596a63314e6930784d446469597a64684f474a6d4d4449755a47396a65413d3d&fich=ae306579-a330-4353-b756-107bc7a8bf02.docx&Inline=true,,,,152804,L,,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,L,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
727,114845,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Reduz a taxa de IMT aplicável à aquisição de habitação própria e permanente por jovens, alterando o Código do IMT",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338794e7a4d354d5751794d5330345a444a6a4c5451314e5459744f57566d4d6930784e6a466d4d4463305a544a6c4e5459755a47396a65413d3d&fich=27391d21-8d2c-4556-9ef2-161f074e2e56.docx&Inline=true,,,,152812,PAN,Substituição do texto da iniciativa a pedido do autor em 2023-04-26.,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,PAN,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
729,114846,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Procede ao alargamento da isenção de IMT prevista no Código do Imposto Municipal sobre as Transmissões Onerosas de Imóveis (CIMT) ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354d7a67355a474535596930324e7a6b774c54513359324d74596d4d304e53316b4f444d7a4d6a6c684d57526a4f4455755a47396a65413d3d&fich=9389da9b-6790-47cc-bc45-d83329a1dc85.docx&Inline=true,,,,162807,CH,,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,CH,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
723,114844,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Alarga o âmbito dos beneficiários dos apoios extraordinários de apoio às famílias para pagamento da renda e da prestação de contratos de crédito, alterando o Decreto-Lei n.º 20-B/2023, de 22 de março",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595339684d7a51305932566a4d43307a4d4467344c5451784d7a63744f444e6a5a6930354e5759344f5759354d4751774f5467755a47396a65413d3d&fich=a344cec0-3088-4137-83cf-95f89f90d098.docx&Inline=true,,,,152808,PAN,Substituição do texto da iniciativa a pedido do autor em 2023-04-18.,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,PAN,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
718,114842,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Altera o Estatuto dos Benefícios Fiscais, aprovado pelo Decreto-Lei n.º 215/89, de 1 de julho, alargando o prazo de isenção do imposto municipal sobre imóveis dos prédios ou parte de prédios urbanos habitacionais construídos, ampliados, melhorados ou adquiridos a título oneroso, destinados à habitação própria e permanente ",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c5a445a6d5a6d466c4d69316a5a6d55784c5451774d446b74596a637a595330345957566c4e5759314d5446684e3255755a47396a65413d3d&fich=ed6ffae2-cfe1-4009-b73a-8aee5f511a7e.docx&Inline=true,,,,152801,BE,,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,BE,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
658,114840,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Facilita as situações de mudança de habitação, descontando o valor de rendas pagas ao valor de rendas recebidas para efeitos de cálculo de IRS",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953387a4e5467774f546b30596930334e4751784c545134597a4d744f544e694e5330304d544933596a526a5932566c4e6a41755a47396a65413d3d&fich=3580994b-74d1-48c3-93b5-4127b4ccee60.docx&Inline=true,,,,152652,IL,Substituição do texto da iniciativa a pedido do autor em 2023-03-15. Substituição do texto da iniciativa a pedido do autor em 2023-03-22.,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,IL,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,N,unanime,IL,,,,,,2023,l15
651,114838,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Isenção de Imposto do Selo relativo a empréstimos,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533878596a49334e574a6a4e4330315a474a6a4c54526d4e325974595463774d533079595459304e7a566a597a49335a5455755a47396a65413d3d&fich=1b275bc4-5dbc-4f7f-a701-2a6475cc27e5.docx&Inline=true,,,,152637,IL,Substituição do texto da iniciativa a pedido do autor em 2023-03-10.,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,IL,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,Ausência,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
657,114841,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Reduz o custo da construção de habitações através da diminuição Imposto sobre o Valor Acrescentado (IVA) relativo à construção, beneficiação, remodelação, renovação, restauro, reparação ou conservação de imóveis ",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396d4e4463354d7a566c4e43316c4d7a49794c54526a4d324d74596d45345a4330774d54677a5a4451784e54686a4e4455755a47396a65413d3d&fich=f47935e4-e322-4c3c-ba8d-0183d4158c45.docx&Inline=true,,,,152651,IL,,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,IL,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,A Favor,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,N,unanime,IL,,,,,,2023,l15
652,114839,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Facilita o acesso às cadernetas prediais do património imobiliário do Estado,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b5a44597a4d32466b597931684d444e6b4c5451774e475174596a686b4f4330344d7a6b355a575133595451784e6d51755a47396a65413d3d&fich=dd633adc-a03d-404d-b8d8-8399ed7a416d.docx&Inline=true,,,,152638,IL,Substituição do texto da iniciativa a pedido do autor em 2023-03-24.,Baixa comissão distribuição inicial generalidade,G,Grupos Parlamentares,IL,Aprovado,98,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,Ausência,Ausência,2023-05-03,,,8329,Comissão de Orçamento e Finanças,S,unanime,IL,,,,,,2023,l15
316,114855,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Altera o Decreto-Lei n.º 57-C/2022, de 6 de setembro, alargando o complemento excecional a pensionistas não residentes em território nacional e aos reformados inseridos em fundos de pensões privados",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4d6a6b775a4755794f5330344d57466d4c54526b4e324d74595759345a4330775a54677a4f4455345a545535596a45755a47396a65413d3d&fich=d290de29-81af-4d7c-af8d-0e83858e59b1.docx&Inline=true,,,,151938,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,124,RP,Abstenção,A Favor,A Favor,Abstenção,Contra,Abstenção,Abstenção,A Favor,2023-05-05,,,8334,"Comissão de Trabalho, Segurança Social e Inclusão",S,,,,,,,,2023,l15
427,114887,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Altera o valor das coimas aplicáveis por contraordenações relacionadas às transgressões ocorridas em matéria de infraestruturas rodoviárias onde seja devido o pagamento de taxas de portagens (Nona alteração à Lei n.º 25/2006, de 30 de junho, que aprova o regime sancionatório aplicável às transgressões ocorridas em matéria de infraestruturas rodoviárias onde seja devido o pagamento de taxas de portagem)",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338784e32557a4f4449345a6930345a6a59784c54517a4d54637459544e6b4e7930344d4449354e444d784e7a52685a5751755a47396a65413d3d&fich=17e3828f-8f61-4317-a3d7-802943174aed.docx&Inline=true,,,,152180,IL,Substituição do texto da iniciativa a pedido do autor em 2023-01-03.,Votação na especialidade,G,Grupos Parlamentares,IL,Rejeitado,124,RP,A Favor,A Favor,A Favor,A Favor,Contra,Abstenção,Abstenção,A Favor,2023-05-05,Proposta de alteração do PSD – emenda do artigo 5.º do Projeto de Lei n.º 427/XV/1.ª (IL) (artigo 4.º do Texto Final),,8330,"Comissão de Economia, Obras Públicas, Planeamento e Habitação",N,,,,,,,,2023,l15
427,114888,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,"Altera o valor das coimas aplicáveis por contraordenações relacionadas às transgressões ocorridas em matéria de infraestruturas rodoviárias onde seja devido o pagamento de taxas de portagens (Nona alteração à Lei n.º 25/2006, de 30 de junho, que aprova o regime sancionatório aplicável às transgressões ocorridas em matéria de infraestruturas rodoviárias onde seja devido o pagamento de taxas de portagem)",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338784e32557a4f4449345a6930345a6a59784c54517a4d54637459544e6b4e7930344d4449354e444d784e7a52685a5751755a47396a65413d3d&fich=17e3828f-8f61-4317-a3d7-802943174aed.docx&Inline=true,,,,152180,IL,Substituição do texto da iniciativa a pedido do autor em 2023-01-03.,Votação na especialidade,G,Grupos Parlamentares,IL,Aprovado,124,RP,Contra,Contra,Contra,Contra,A Favor,Abstenção,Abstenção,Abstenção,2023-05-05,Proposta de alteração do PS – emenda do artigo 4.º do Texto Final,,8330,"Comissão de Economia, Obras Públicas, Planeamento e Habitação",N,,,,,,,,2023,l15
729,114867,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Procede ao alargamento da isenção de IMT prevista no Código do Imposto Municipal sobre as Transmissões Onerosas de Imóveis (CIMT) ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354d7a67355a474535596930324e7a6b774c54513359324d74596d4d304e53316b4f444d7a4d6a6c684d57526a4f4455755a47396a65413d3d&fich=9389da9b-6790-47cc-bc45-d83329a1dc85.docx&Inline=true,,,,162807,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,124,RP,Abstenção,A Favor,A Favor,Contra,Contra,Contra,Contra,A Favor,2023-05-05,,,8329,Comissão de Orçamento e Finanças,S,,,,,,,,2023,l15
