iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,iniTextoSubstCampo,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,resultado,reuniao,tipoReuniao,PSD,CH,IL,BE,PS,L,PCP,PAN,data,descricao,iniAnexos,idComissao,nomeComissao,competenteComissao,unanime,ausencias,António Maló De Abreu (Ninsc),peticoes,iniObs,publicacao,iniciativasOrigem,ano,leg
30,92833,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Por um Modelo de Desenvolvimento Focado no Crescimento,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c4f5751794f544d784e7931695a4441784c5452684d5745744f5463775a6930354d7a5a6c4e7a6c6c4d474d32596d51755a47396a65413d3d&fich=e9d29317-bd01-4a1a-970f-936e79e0c6bd.docx&Inline=true,,,,121405,IL,,Votação na generalidade,G,Grupos Parlamentares,IL,Rejeitado,9,RP,A Favor,A Favor,A Favor,Contra,Contra,Contra,Contra,Contra,2022-04-22,,,,,,,,,,,,,2022,l15
2,92871,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Contra,A Favor,Abstenção,Contra,Contra,2022-04-22,"Proposta de alteração do PS – aditamento de um novo n.º 2 ao artigo 36.º da Lei de Enquadramento Orçamental;
Proposta de alteração do PS – aditamento de um n.º 3 ao artigo 36.º da Lei de Enquadramento Orçamental;
Proposta de alteração do PS – aditamento de um n.º 4 ao artigo 36.º da Lei de Enquadramento Orçamental.
",,,,,,,,,,,,2022,l15
2,92865,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Contra,A Favor,A Favor,Contra,Abstenção,2022-04-22,Proposta de alteração do PS – aditamento de um n.º 4 ao artigo 8.º da Lei de Enquadramento Orçamental,,,,,,,,,,,,2022,l15
2,92863,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Contra,A Favor,A Favor,Contra,A Favor,2022-04-22,Proposta de alteração do PS – aditamento de um novo n.º 3 ao artigo 8.º da Lei de Enquadramento Orçamental,,,,,,,,,,,,2022,l15
2,92860,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,A Favor,Abstenção,Abstenção,A Favor,A Favor,Abstenção,A Favor,2022-04-22,Artigo 1.º,,,,,,,,,,,,2022,l15
41,103294,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Conquistas fundamentais como princípio orientador de reformas,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338325a574531596a5a6b4e79307a4e6d557a4c5451304e6d55744f444d78595331684d7a466c4e7a4e694d7a426b4d5449755a47396a65413d3d&fich=6ea5b6d7-36e3-446e-831a-a31e73b30d12.docx&Inline=true,,,,121425,L,,Votação na generalidade,G,Grupos Parlamentares,L,Rejeitado,9,RP,Contra,Contra,Contra,A Favor,Abstenção,A Favor,A Favor,A Favor,2022-04-22,,,,,,,,,,,,,2022,l15
40,92837,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que implemente um Programa Nacional de Crescimento,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338795a5749794d545a694e53307a4d4745314c5451354f444174596a68685a69316d597a41774d3245344d574d315a6d55755a47396a65413d3d&fich=2eb216b5-30a5-4980-b8af-fc003a81c5fe.docx&Inline=true,,,,121424,IL,,Votação na generalidade,G,Grupos Parlamentares,IL,Rejeitado,9,RP,Abstenção,A Favor,A Favor,Contra,Contra,Contra,Contra,Contra,2022-04-22,,,,,,,,,,,,,2022,l15
39,92836,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que preveja no Programa Nacional de Reformas – 2022, a criação de um plano de ação “rios livres”, despoluídos e o reforço da monitorização, controlo e avaliação da poluição dos rios",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4d7a45795a474d7a4f53316a5a4745774c545268596a45744f574d78597930304d474e6c5a6d4d794e5445774e474d755a47396a65413d3d&fich=d312dc39-cda0-4ab1-9c1c-40cefc25104c.docx&Inline=true,,,,121423,PAN,,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,9,RP,Abstenção,Abstenção,Abstenção,A Favor,Contra,A Favor,Abstenção,A Favor,2022-04-22,,,,,,,,,,,,,2022,l15
38,92835,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que, no âmbito do Programa Nacional de Reformas - 2022, implemente uma Rede Nacional de Acolhimento Animal",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338794e6a67314d6a49334f5331684e6a417a4c54526c5a47557459544e6c595330784d4745794d6a686d5a444e684e474d755a47396a65413d3d&fich=26852279-a603-4ede-a3ea-10a228fd3a4c.docx&Inline=true,,,,121422,PAN,,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,9,RP,Abstenção,Abstenção,A Favor,A Favor,Contra,A Favor,Abstenção,A Favor,2022-04-22,,,,,,,,,,,,,2022,l15
2,92856,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na generalidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Abstenção,A Favor,A Favor,Abstenção,Abstenção,2022-04-22,,,,,,,,,,,,,2022,l15
